review_date,cocoa_percent_min,cocoa_percent_max,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
,,,,,,70,,70,72,70,70,70,77,60,70,65,
,,,,,,70,,70,80,65,76,75,77,77,70,71.5,
,,,,,,70,,70,72,72,85,80,77,70,70,70,
,,,,,,70,,85,66,75,70,73,70,70,70,72,
,,,,,,70,,76,70,89,75,85,85,75,70,75,
,,,,,,75,,85,75,74,66,60,64,,72,75,
,,,,,,68,,76,65,68,70,70,70,,70,75,
,,,,,,60,,80,70,74,80,70,74,,70,70,
,,,,,,64,,66,71,70,80,80,72,,70,70,
,,,,,,66,,70,80,72,74,75,70,,75,68,
,,,,,,68,,70,70,80,65,65,77,,71,72,
,,,,,,72,,70,75,75,70,66,72,,70,70,
,,,,,,76,,70,65,70,55,70,68,,74,70,
,,,,,,80,,70,72,73,67,77,66,,73,70,
,,,,,,72,,70,70,72,67,74,75,,70,70,
,,,,,,70,,75,85,70,67,67,70,,75,70,
,,,,,,,,85,82,58,67,74,72,,72,75,
,,,,,,,,75,76,70,72,57,70,,72,75,
,,,,,,,,75,73,78,70,73,61,,73,70,
,,,,,,,,73,65,75,70,70,70,,80,70,
,,,,,,,,70,60,75,70,74,70,,66,70,
,,,,,,,,77,75,72,70,70,70,,70,70,
,,,,,,,,71,75,72,70,70,70,,70,85,
,,,,,,,,70,75,74,77,70,80,,70,70,
,,,,,,,,68,75,72,72,70,70,,70,70,
,,,,,,,,73,75,72,72,70,70,,70,70,
,,,,,,,,73,84,70,72,70,70,,70,74,
,,,,,,,,75,72,55,72,70,70,,70,76,
,,,,,,,,65,76,67,60,70,70,,70,67,
,,,,,,,,60,69,85,72,70,75,,70,72,
,,,,,,,,67,83,75,90,70,70,,70,70,
,,,,,,,,68,78,80,72,63,70,,75,72,
,,,,,,,,67,70,55,72,75,70,,70,70,
,,,,,,,,64,70,75,72,75,75,,70,72,
,,,,,,,,70,70,75,72,75,74,,70,70,
,,,,,,,,70,70,75,72,75,82,,70,67,
,,,,,,,,70,70,68,72.5,75,76,,70,72,
,,,,,,,,70,70,75,72.5,75,72,,73,72,
,,,,,,,,70,85,75,72.5,75,70,,70,74,
,,,,,,,,72,70,70,72.5,75,75,,71,70,
,,,,,,,,70,75,70,70,70,72,,70,70,
,,,,,,,,87,70,70,68,70,80,,78,71,
,,,,,,,,74,80,70,70,70,71,,80,75,
,,,,,,,,72,68,70,71,70,68,,70,76,
,,,,,,,,73,75,70,70,70,68,,75,76,
,,,,,,,,64,65,70,75,75,70,,70,76,
,,,,,,,,56,70,88,65,74,70,,70,76,
,,,,,,,,70,70,70,74,72,100,,72,75,
,,,,,,,,70,70,67,74,72,70,,72,75,
,,,,,,,,72,70,70,70,70,70,,72,75,
,,,,,,,,68,70,77,70,62,72,,75,70,
,,,,,,,,66,70,70,85,70,70,,75,76,
,,,,,,,,70,70,70,75,70,76,,75,70,
,,,,,,,,65,70,70,63,68,70,,67,75,
,,,,,,,,62,70,70,70,78,80,,72,75,
,,,,,,,,65,67,70,70,72,70,,70,75,
,,,,,,,,,70,70,82,70,77,,70,75,
,,,,,,,,,70,70,70,75,74,,70,75,
,,,,,,,,,70,70,70,70,70,,70,75,
,,,,,,,,,80,84,70,68,70,,70,75,
,,,,,,,,,70,78,70,85,75,,70,75,
,,,,,,,,,70,67,70,74,75,,70,75,
,,,,,,,,,70,70,70,76,70,,70,75,
,,,,,,,,,70,70,80,70,70,,70,75,
,,,,,,,,,65,70,80,80,70,,68,70,
,,,,,,,,,77,70,70,70,75,,72,70,
,,,,,,,,,69,70,72,75,70,,70,72,
,,,,,,,,,70,70,70,75,73,,70,72,
